Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.161.170-192.168.0.53-443-63004-17,192.168.0.53,63004,172.217.161.170,443,17,20/07/2021 05:26:50,177437,6,7,2162.0,2587.0,1350.0,33.0,360.33333333333337,524.9067218722453,1350.0,25.0,369.57142857142856,490.61283348578684,26764.4290649639,73.26544069162576,14786.41666666667,19912.2140198985,54712.0,0.0,139461.0,27892.2,20975.887602196955,55405.0,1022.0,122725.0,20454.166666666664,26898.172275577883,64035.0,0.0,0,0,0,0,48,56,33.81481878075035,39.450621910875405,25.0,1350.0,435.64285714285717,535.1115781768333,286344.4010989011,0,0,0,0,0,0,0,0,1.0,469.15384615384613,360.3333333333333,369.57142857142856,0,0,0,0,0,0,6,2162,7,2587,-1,-1,5,8,0,0,0,0,0,0,0,0,No Label
192.168.0.36-224.0.0.252-56412-5355-17,192.168.0.36,56412,224.0.0.252,5355,17,20/07/2021 05:24:14,408452,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.72379618657762,4.896536190298983,408452.0,0.0,408452.0,408452.0,408452.0,408452.0,0.0,408452.0,408452.0,0,0,0,0,0,0,0,0,0,16,0,4.896536190298983,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,2,44,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
192.168.0.53-224.0.0.251-0-0-0,192.168.0.53,0,224.0.0.251,0,0,20/07/2021 05:33:03,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
175.207.12.40-192.168.0.53-80-64686-6,192.168.0.53,64686,175.207.12.40,80,6,20/07/2021 05:34:23,57383984,151,162,86991.0,19889.0,1190.0,0.0,576.0993377483445,538.8168737145845,303.0,0.0,122.77160493827155,126.28122390796615,1862.5406001786143,5.454483606436249,183923.0256410255,549278.3659125972,8001644.0,4.0,5.7383984E7,382559.89333333314,746098.8280359604,8001644.0,4.0,4.2331114E7,262926.17391304346,274993.6308524156,667325.0,3013.0,0,0,0,0,3116,3252,2.631396244638574,2.823087361797675,0.0,1190.0,340.38216560509534,446.11642680178,199019.86626238792,0,0,0,1,0,0,0,0,1.0,341.46964856230034,576.0993377483444,122.77160493827161,0,0,0,0,0,0,151,86991,162,19889,64240,32038,81,20,7006022.0,0.0,7006022.0,7006022.0,8001644.0,0.0,8001644.0,8001644.0,No Label
192.168.0.52-239.255.255.250-53047-1900-17,192.168.0.52,53047,239.255.255.250,1900,17,20/07/2021 05:34:34,29901775,4,0,452.0,0.0,113.0,113.0,113.0,0.0,0,0,0,0,15.116159492204059,0.1337713229398589,9967258.333333332,1.7263797845497623E7,2.9901775E7,0.0,2.9901775E7,9967258.333333332,1.7263797845497623E7,2.9901775E7,0.0,0,0,0,0,0,0,0,0,0,32,0,0.1337713229398589,0.0,113.0,113.0,113.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,141.25,113.0,0.0,0,0,0,0,0,0,4,452,0,0,-1,-1,3,8,0,0,0,0,2.9901775E7,0.0,2.9901775E7,2.9901775E7,No Label
192.168.0.53-192.9.10.4-53035-53-17,192.168.0.53,53035,192.9.10.4,53,17,20/07/2021 05:34:31,2448,1,1,39.0,73.0,39.0,39.0,39.0,0.0,73.0,73.0,73.0,0.0,45751.6339869281,816.9934640522875,2448.0,0.0,2448.0,2448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,408.4967320261438,408.4967320261438,39.0,73.0,50.333333333333336,19.629909152447276,385.33333333333337,0,0,0,0,0,0,0,0,1.0,75.5,39.0,73.0,0,0,0,0,0,0,1,39,1,73,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
192.168.0.38-192.168.0.53-39676-5357-6,192.168.0.38,39676,192.168.0.53,5357,6,20/07/2021 05:25:37,7192941,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5561007660149027,2397647.0,1606195.9911464727,4160257.0,1016572.0,7192941.0,2397647.0,1606195.9911464727,4160257.0,1016572.0,0,0,0,0,0,0,0,0,0,96,0,0.5561007660149027,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,29200,-1,0,24,0,0,0,0,0,0,0,0,No Label
172.217.174.206-192.168.0.53-443-65306-17,192.168.0.53,65306,172.217.174.206,443,17,20/07/2021 05:24:58,2214258,23,18,12351.0,7762.0,1350.0,33.0,537.0,637.3646736937397,1350.0,25.0,431.2222222222222,568.2582838148362,9083.404011637307,18.51636078541886,55356.45000000001,72841.9826315137,202445.0,0.0,2137019.0,97137.22727272728,129298.32520365334,305069.0,31.0,2154015.0,126706.76470588235,140496.8625470554,306864.0,0.0,0,0,0,0,184,144,10.38722678206424,8.129134003354622,25.0,1350.0,511.02380952380963,610.0933350464177,372213.8774680604,0,0,0,0,0,0,0,0,0.0,523.4878048780488,537.0,431.22222222222223,0,0,0,0,0,0,23,12351,18,7762,-1,-1,22,8,0,0,0,0,0,0,0,0,No Label
192.168.0.36-224.0.0.252-49669-5355-17,192.168.0.36,49669,224.0.0.252,5355,17,20/07/2021 05:24:57,408369,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.74569078456005,4.897531399298184,408369.0,0.0,408369.0,408369.0,408369.0,408369.0,0.0,408369.0,408369.0,0,0,0,0,0,0,0,0,0,16,0,4.897531399298184,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,2,44,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
192.168.0.53-211.249.219.23-54992-443-6,192.168.0.53,54992,211.249.219.23,443,6,20/07/2021 05:25:27,4320,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.4444444444445,2160.0,3002.3753929180807,4283.0,37.0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,40,20,462.96296296296293,231.48148148148147,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,515,12,0,20,0,0,0,0,0,0,0,0,No Label
